Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200309,S08000025,NHS Orkney,0,0,0,0,0,0,0,1,8,35.714285714285715,1,0,0,0,1,0,,:,,:,0,0
20200309,S08000026,NHS Shetland,4,6,26.23524267599475,,0,0,0,4,9,39.35286401399213,16,6,37.5,,16,0,,:,,:,6,0
20200309,S08000028,NHS Western Isles,0,0,0,0,0,0,0,0,4,15.09433962264151,0,0,0,0,0,0,,:,,:,0,0
20200309,S08000029,NHS Fife,1,3,0.8018603159329645,0.8018603159329645,0,0,0,4,118,31.539839093363266,7,1,14.285714285714285,7.352941176470589,7,0,,:,,:,1,0
20200309,S08000030,NHS Tayside,3,4,0.9602688752850798,0.7202016564638098,0,0,0,10,160,38.41075501140319,22,6,27.27272727272727,6.790123456790123,22,0,,:,,:,6,0
20200309,S08000031,NHS Greater Glasgow and Clyde,3,6,0.5062265870203503,0.5062265870203503,0,0,0,63,596,50.28517431068813,119,9,7.563025210084033,3.4722222222222223,119,0,,:,,:,9,0
20200309,S08000032,NHS Lanarkshire,0,3,0.45319958909903924,0.45319958909903924,0,0,0,21,235,35.50063447942474,41,3,7.317073170731707,5.529953917050691,41,0,,:,,:,3,0
20200309,S92000003,Scotland,16,46,0.8415660446395901,0.7683863885839736,0,0,0,286,2375,43.45042078302232,453,39,8.609271523178808,5.460921843687375,453,0,18,"",,:,39,0
20200310,S08000015,NHS Ayrshire and Arran,1,4,1.0869860594037881,0.8152395445528412,0,0,0,17,148,40.21848419794016,25,1,4,3.361344537815126,25,0,,:,,:,1,0
20200310,S08000016,NHS Borders,0,1,0.8677542519958349,0.8677542519958349,0,0,0,8,70,60.74279763970844,12,0,0,2.3255813953488373,12,0,,:,,:,0,0
20200310,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,13,118,79.57380807876459,17,0,0,0,17,0,,:,,:,0,0
20200310,S08000019,NHS Forth Valley,5,8,2.614977282384859,1.9612329617886444,0,0,0,21,206,67.33566502141012,45,10,22.22222222222222,11.79245283018868,45,0,,:,,:,10,0
20200310,S08000020,NHS Grampian,1,8,1.3662368713175648,1.0246776534881736,0,0,0,6,167,28.520194688754163,32,9,28.125,19.642857142857142,32,0,,:,,:,9,0
20200310,S08000022,NHS Highland,1,1,0.3116624072804338,0.3116624072804338,0,0,0,15,106,33.036215171725985,20,1,5,1.4705882352941175,20,0,,:,,:,1,0
20200310,S08000024,NHS Lothian,2,12,1.3150829050181372,1.3150829050181372,0,0,0,114,624,68.38431106094313,155,6,3.870967741935484,5.296610169491525,155,0,,:,,:,6,0
20200310,S08000025,NHS Orkney,0,0,0,0,0,0,0,1,9,40.17857142857143,1,0,0,0,1,0,,:,,:,0,0
20200310,S08000026,NHS Shetland,5,11,48.09794490599038,48.09794490599038,0,0,0,4,13,56.84302579798864,9,5,55.55555555555556,39.39393939393939,9,0,,:,,:,5,0
20200310,S08000028,NHS Western Isles,0,0,0,0,0,0,0,3,7,26.41509433962264,4,0,0,0,4,0,,:,,:,0,0
20200310,S08000029,NHS Fife,0,3,0.8018603159329645,0.8018603159329645,0,0,0,15,133,35.54914067302809,25,0,0,6.25,25,0,,:,,:,0,0
20200310,S08000030,NHS Tayside,0,4,0.9602688752850798,0.7202016564638098,0,0,0,15,175,42.01176329372224,35,2,5.714285714285714,6.875000000000001,35,0,,:,,:,2,0
20200310,S08000031,NHS Greater Glasgow and Clyde,5,11,0.9280820762039756,0.8437109783672505,0,0,0,90,686,57.87857311599339,147,8,5.442176870748299,3.9938556067588324,147,0,,:,,:,8,0
20200310,S08000032,NHS Lanarkshire,1,4,0.6042661187987189,0.6042661187987189,0,0,0,35,270,40.78796301891353,61,5,8.19672131147541,6.995884773662551,61,0,,:,,:,5,0
20200310,S92000003,Scotland,21,67,1.225759238931577,1.0976948408342482,0,0,0,357,2732,49.9817050859861,588,47,7.993197278911565,6.533101045296168,588,0,29,"",,:,47,0
